T01,Naadhamunigal,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu Taniyan,,Thiruppallandu Thanians/Nathamunigal arulicheithathu\ngurumuka manadheethya praaha vEdhaanasEshaan \nnarapathiparikluptham soolkamaadhaathukaamaha|\nsvasuramamaravandhyam ranganaathasya saakshaath \ndhvijakulathilakam tham vishNuchiththam namaami||,திருப்பல்லாண்டு தனியன்கள்/நாதமுனிகள் அருளிச்செய்தது\nகுருமுகமனதீத்ய ப்ராஹ வேதாந ஸேஷாந் \nநரபதிபரிக்லுப்தம் ஸூல்கமாதாதுகாம:|\nஸ்வஸுரமமரவந்த்யம் ரங்கநாதஸ்ய ஸாக்ஷாத் \nத்விஜகுலதிலகம்  தம்  விஷ்ணுசித்தம்  நமாமி ||,நாதமுனிகள்,முதலாயிரம் ,திருப்பல்லாண்டு,,பெரியாழ்வார் திருமொழிகளின் தனியன்கள்  ,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,తిరుప్పల్లణ్డు తనియన్/ నాదమునిగల్ అరుళిచైదదు  గురుముఖ మనధీత్య ప్రాహ వేధాన శేషాన్  నరపతి పరిక్లుప్తం సూల్కమాధాతుకామహ| స్వసురమమరవంధ్యం రంగనాథస్య సాక్షాత్  ద్విజకులతిలకం తం విష్ణుచిత్తం నమామి||  
T02,paaNdiya pattar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu Taniyan,,Thiruppallandu Thanians/paaNdiya pattar arulicheithathu \nminnaar_thadamathiLsoozh villipuththoorenRu * orukaal \nsonnaar_kazhaRkamalamsoodinOm - munnaaL \nkizhiyaRuththaanenRuraiththOm keezhmaiyiniRchErum \nvazhiyaRuththOm nenchamE! vandhu,திருப்பல்லாண்டு தனியன்கள் /பாண்டியபட்டர் அருளிச்செய்தது\nமின்னார்தடமதிள்சூழ் வில்லிபுத்தூரென்று* ஒருகால் \nசொன்னார்கழற்கமலம்சூடினோம்* முன்னாள் \nகிழியறுத்தானென்றுரைத்தோம் *கீழ்மையினிற்சேரும்  \nவழியறுத்தோம் நெஞ்சமே ! வந்து.,பாண்டியபட்டர்,முதலாயிரம்,திருப்பல்லாண்டு,,பெரியாழ்வார் திருமொழிகளின் தனியன்கள்,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,తిరుప్పల్లణ్డు తనియన్/ పాణ్డియ భట్టర్ అరుళిచైదదు  మిన్నార్_తడమతిళ్సూళ్ విల్లిపుత్తూరెన్ఱు * ఒరుకాల్  సొన్నార్_కళఱ్కమలంసూడినోం* మున్నాళ్  కిళియఱుత్తానెన్ఱురైత్తోం * కీళ్మైయినిఱ్చేరుం  వళియఱుత్తోం నెంచమే! వందు 
T03,paaNdiya pattar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,,paaNdiyan_koNdaadap pattar_piraanvandhaanenRu *\neeNdiyasangametuththoodha *- vENdiya \nvEdhangaLOdhi viraindhukizhiyaRuththaan *\npaathangaLyaamudaiyapaRRu.,பாண்டியன்கொண்டாடப் பட்டர்பிரான்வந்தானென்று* \nஈண்டியசங்கமெடுத்தூத* - வேண்டிய \nவேதங்களோதி விரைந்துகிழியறுத்தான்* \nபாதங்கள்யாமுடையபற்று .,பாண்டியபட்டர்,முதலாயிரம்,திருப்பல்லாண்டு,,பெரியாழ்வார் திருமொழிகளின் தனியன்கள்,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,పాణ్డియన్_కొణ్డాడప్పట్టర్_పిరాన్వందానెన్ఱు * ఈణ్డియసంగమెడుత్తూద *- వేణ్డియ  వేదంగళోది విరైందుకిళియఱుత్తాన్  పాదంగళ్యాముడైయపఱ్ఱు. 
1,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,1,* pallaaNdu pallaaNdu pallaayiraththaaNdu *\npalakOdi nooRaayiram\nmallaaNda thiNthOL maNivaNNaa! * un\nsEvadi sevvi thirukkaappu ** 1,*பல்லாண்டுபல்லாண்டு பல்லாயிரத்தாண்டு*\nபலகோடிநூறாயிரம்\nமல்லாண்டதிண்தோள்மணிவண்ணா! * உன்\nசெவ்வடிசெவ்விதிருக் காப்பு. ** ,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு  ,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,పల్లాణ్డు పల్లాణ్డు పల్లాయిరత్తాణ్డు * పలకోడి నూఱాయిరం మల్లాణ్డ తిణ్తోళ్ మణివణ్ణా! * ఉన్ సేవడి సెవ్వి తిరుక్కాప్పు ** 1 
2,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,2,* adiyOmOdum ninnOdum * pirivinRi aayiram pallaaNdu *\nvadivaay nin valamaarbinil * vaazhginRa mangkaiyum pallaaNdu*\nvadivaarsOdhi valaththuRaiyum * sudaraazhiyum pallaaNdu *\npadaipOr pukku muzhangkum * appaanjchasanniyamum pallaaNdE 2,*அடியோமோடும்நின்னோடும் பிரிவின்றிஆயிரம்பல்லாண்டு*\nவடிவாய்நின்வலமார்பினில் வாழ்கின்றமங்கையும்பல்லாண்டு*\nவடிவார்சோதிவலத்துறையும் சுடராழியும்பல்லாண்டு*\nபடைபோர்புக்குமுழங்கும் அப்பாஞ்சசன்னியமும்பல்லாண்டே. 2,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,అడియోమోడుం నిన్నోడుం పిరివిన్ఱి ఆయిరం పల్లాణ్డు వడివాయ్ నిన్ వల మార్బినిల్ వాళ్కిన్ఱ మంగైయుం పల్లాణ్డు వడివార్ సోథి వలత్తుఱైయుం సుడరాళియుం పల్లాణ్డు పడైపోర్ పుక్కు ముళంగుం అప్పాంచ సన్నియముం పల్లాణ్డే
3,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,3,vaazhaatpattu n^inReer uLLeerEl *vandhu maNNum maNamum koNmin* \nkoozhaatpattu n^inReerhaLai* eNGgaL kuzhuvinil puhuthalottOm* \nEzhaatkaalum pazhippilOm n^aaNGgaL* iraakkatharvaazh* ilaNGgai- \npaazhaaLaakap padai poruthaanukkup* pallaaNdu kooRuthamE.,வாழாட்பட்டு நின்றீருள்ளீரேல் வந்து மண்ணும்\nமணமும் கொண்மின்*\nகூழாட்பட்டுநின்றீர்களை எங்கள்குழுவினில்புகுதலொட்டோம்*\nஏழாட்காலும்பழிப்பிலோம்நாங்கள் இராக்கதர்வாழ்இலங்கை*\nபாழாளாகப்படைபொருதானுக்குப் பல்லாண்டுகூறுதுமே. 3,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,వాళాట్పట్టు నిన్ఱీరుళ్ళీరేల్ * వందు మణ్ణుం మణముం కొణ్మిన్ * కూళాట్పట్టు నిన్ఱీర్గళై * ఎంగ్కళ్ కుళువినిల్ పుగుదలొట్టోం ** ఏళాట్కాలుం పళిప్పిలోం నాంగ్కళ్ * ఇరాక్కదర్ వాళ్ * ఇలంగ్కై  పాళాళాగప్పడై పొరుధానుక్కుప్ * పల్లాణ్దు కూఱుదుమే  3   
4,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,4,Edun^ilaththil iduvathan munnam vandhu * eNGgaL kuzhaam puhundhu* \nkoodu manamudaiyeer kaL varampozhi* vandhu ollaikkooduminO* \nnaadum n^akaramum n^an kaRiya* namO n^aaraayaNaaya enRu* \npaadu manamudaip paththaruLLeer!* vandhu pallaaNdu kooRuminE.,ஏடுநிலத்தில்இடுவதன்முன்னம்வந்து எங்கள்குழாம்புகுந்து*\nகூடுமனமுடையீர்கள் வரம்பொழிவந்துஒல்லைக்கூடுமினோ*\nநாடும்நகரமும்நன்கறிய நமோநாராயணாயவென்று*\nபாடுமனமுடைப்பத்தருள்ளீர்! வந்துபல்லாண்டுகூறுமினே. 4 \n,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,ఏడు నిలత్తిల్ ఇడువదన్ మున్నం వందు * ఎంగ్కళ్ కుళాం పుగుందు *  కూడు మనముడైయీర్గళ్ వరంపొళి * వందొల్లైక్కూదుమినో **  నాడుం నగరముం నన్కఱియ * నమో నారాయణాయ ఎన్ఱు *  పాడు మనముడైప్పత్తరుళ్ళీర్! * వందు పల్లాణ్డు కూఱుమినే 4 
5,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,5,aNdakkulaththukku adhipathiyaaki* asurar iraakkatharai* \niNdaikkulaththai eduththukkaLaindha* irudeekEsan thanakku* \nthoNdak kulaththiluLLeer! vandhadi thozhuthu* aayira n^aamam solli* \npaNdaik kulaththaith thavirndhu* pallaaNdu pallaayiraththaaNdu enminE.,அண்டக்குலத்துக்கதிபதியாகி அசுரரிராக்கதரை*\nஇண்டைக்குலத்தைஎடுத்துக்களைந்த இருடீகேசன்தனக்கு*\nதொண்டக்குலத்திலுள்ளீர்! வந்தடிதொழுது ஆயிரநாமம்சொல்லி*\nபண்டைக்குலத்தைத்தவிர்ந்து பல்லாண்டுபல்லாயிரத் தாண்டென்மினே. 5\n,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,అణ్డక్కులత్తుక్కు అథిపతియాగి * అసురర్ ఇరాక్కధరై * ఇణ్డైక్కులత్తై ఎడుత్తుక్కళైంద * ఇరుడీకేసన్ తనక్కు **  తొణ్డక్కులత్తిల్ ఉళ్ళీర్! * వందడి థొళుదు ఆయిర నామం సొల్లి * పణ్డైక్కులత్తైత్తవిర్న్దు * పల్లాణ్డు పల్లాయిరత్తాణ్డు - ఎన్మినే 5   
6,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,6,endhai thandhai thandhai thandhaithan mooththappan *Ezhpadi kaalthodaNGgi* \nvandhu vazhivazhi aatcheykinROm* thiruvONath thiruvizhavil- \nandhiyampOthil ariyuruvaahi* ariyai azhiththavanai* \npandhanai theerap pallaaNdu* pallaayiraththaaNdenRu paaduthamE.,எந்தை தந்தை தந்தை தந்தை தம்மூத்தப்பன் ஏழ்படிகால்தொடங்கி*\nவந்துவழிவழிஆட்செய்கின்றோம்* திருவோணத்திருவிழவில்\nஅந்தியம்போதிலரியுருவாகி அரியையழித்தவனை*\nபந்தனைதீரப்பல்லாண்டு பல்லாயிரத்தாண்டென்றுபாடுதுமே. 6\n,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,ఎందై తందై తందై తందై తం మూత్తప్పన్ * ఏళ్పడికాల్ - తొడంగ్కి *  వందు వళివళి ఆట్సైగిన్ఱోం ** తిరువోణత్తిరువిళవిల్  అందియంపోదిల్ అరి ఉరువాగి * అరియై అళిత్తవనై *  పందనై తిరప్పల్లాణ్డు * పల్లాయిరత్తాణ్డెన్ఱు పాడుదుమే 6   
7,PeriyAzhwaar,Mudhal Aiyiram,PeriyAzhwaar Tirumozhi,First century,Tiruppallandu,7,theeyiR polihinRa seNYchudar aazhi* thikazh thiruch chakkaraththin* \nkOyiRpoRiyaalE oRRuNdu n^inRu* kudikudi aatseykinROm* \nmaayap porupadai vaaNanai* aayiran thOLum pozhikuruthi- \npaaya * suzhaRRiya aazhi vallaanukkup* pallaaNdu kooRuthumE.,தீயிற் பொலிகின்ற செஞ்சுடராழி திகழ் திருச்சக்கரத்தின்*\nகோயிற் பொறியாலே ஒற்றுண்டு நின்று குடிகுடி ஆட்செய்கின்றோம்*\nமாயப் பொருபடை வாணனை ஆயிரந்தோளும் பொழி குருதி\nபாய * சுழற்றிய ஆழி வல்லானுக்குப் பல்லாண்டு கூறுதுமே. 7,பெரியாழ்வார்,முதலாயிரம்,திருப்பல்லாண்டு,,திருப்பல்லாண்டு,,,పెరియాళ్వార్,ముదల్ ఆయిరమ్,పెరియాళ్వార్ తిరుమొళి,మొదటి శతం,తిరుపల్లాణ్డు,,తీయిఱ్ పొలిగిన్ఱ సెఙ్సుడరాయి * తిగళ్ తిరుచ్చక్కరత్తిన్ *  కోయిఱ్ పొఱియాలే ఒఱ్ఱుణ్డు నిన్ఱు * కుడికుడి ఆట్సైగిన్ఱోం **  మాయప్పొరుపడై వాణనై * ఆయిరం తోళుం పొళి కురుది పాయ * సుళట్రియ ఆయి వల్లానుక్కుప్ * పల్లాణ్డు కూఱుదుమే . 7
